INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_IP;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_OT
;problem_10_50_4_1_5.txt;35;35;0;51;51;0;51;51;0;51;51;0;51;51;0;51;51;9
;problem_10_50_4_2_5.txt;50;50;0;79;79;0;79;79;0;79;79;0;79;79;0;79;79;12
;problem_10_50_4_3_5.txt;92;92;0;113;113;0;113;113;0;113;113;0;113;113;0;113;113;7
;problem_10_50_4_4_5.txt;229;229;0;238;238;15;238;238;0;238;238;0;238;238;0;238;238;11
;problem_10_50_4_5_5.txt;168;168;0;204;204;0;204;204;0;204;204;0;204;204;0;204;204;6
;problem_10_100_1_1_5.txt;86;198;0;86;198;0;86;198;0;86;198;0;86;198;0;86;198;9
;problem_10_100_1_2_5.txt;145;371;0;145;371;0;145;371;0;145;371;0;145;371;0;145;371;7
;problem_10_100_1_3_5.txt;321;323;0;342;324;0;342;324;0;342;324;0;342;324;0;342;324;11
;problem_10_100_1_4_5.txt;462;507;0;462;507;0;462;507;0;462;507;0;462;507;0;462;507;6
;problem_10_100_1_5_5.txt;433;481;0;433;481;15;433;481;0;433;481;0;433;481;0;433;481;7
;problem_10_100_2_1_5.txt;100;117;0;100;117;0;100;117;0;100;117;0;100;117;0;100;117;6
;problem_10_100_2_2_5.txt;82;94;0;146;159;0;146;159;0;146;159;0;146;159;0;146;159;9
;problem_10_100_2_3_5.txt;273;294;0;347;366;15;347;366;0;347;366;0;347;366;0;347;366;11
;problem_10_100_2_4_5.txt;441;481;0;459;497;0;459;497;0;459;497;0;459;497;0;459;497;12
;problem_10_100_2_5_5.txt;425;426;0;449;445;0;449;445;0;449;445;0;449;445;0;449;445;11
;problem_10_100_3_1_5.txt;91;141;0;91;141;0;91;141;0;91;141;0;101;141;0;91;141;11
;problem_10_100_3_2_5.txt;123;183;0;125;185;0;125;185;0;125;185;0;125;185;0;125;185;11
;problem_10_100_3_3_5.txt;188;248;0;238;298;0;238;298;0;238;298;0;238;298;0;238;298;20
;problem_10_100_3_4_5.txt;363;433;0;437;507;0;437;507;0;437;507;0;437;507;0;437;507;71
;problem_10_100_3_5_5.txt;421;501;0;495;575;15;495;575;0;495;575;0;495;575;0;495;575;13
;problem_10_100_4_1_5.txt;85;85;0;101;101;0;101;101;0;101;101;0;101;101;0;101;101;12
;problem_10_100_4_2_5.txt;117;117;0;129;129;0;129;129;0;129;129;0;129;129;0;129;129;13
;problem_10_100_4_3_5.txt;192;192;0;238;238;0;238;238;0;238;238;0;238;238;0;238;238;9
;problem_10_100_4_4_5.txt;429;429;0;437;437;0;437;437;0;437;437;0;437;437;0;437;437;97
;problem_10_100_4_5_5.txt;468;468;0;495;495;0;495;495;0;495;495;0;495;495;0;495;495;12
;problem_10_500_1_1_5.txt;291;873;0;464;949;0;464;949;0;464;949;0;464;949;0;464;949;12
;problem_10_500_1_2_5.txt;722;1390;0;830;1450;0;830;1450;0;830;1450;0;830;1450;0;830;1450;11
;problem_10_500_1_3_5.txt;782;2348;0;877;2396;15;877;2396;0;877;2396;0;877;2396;0;877;2396;10
;problem_10_500_1_4_5.txt;1357;2348;0;1357;2348;0;1357;2348;0;1357;2348;0;1357;2348;0;1357;2348;9
;problem_10_500_1_5_5.txt;2805;2814;0;2805;2814;0;2805;2814;0;2805;2814;0;2805;2814;0;2805;2814;9
;problem_10_500_2_1_5.txt;326;375;15;528;541;0;528;541;0;528;541;0;528;541;0;528;541;12
;problem_10_500_2_2_5.txt;740;831;0;868;875;0;868;875;0;868;875;0;868;875;0;868;875;100
;problem_10_500_2_3_5.txt;714;778;0;890;942;15;890;942;0;890;942;0;890;942;0;890;942;35
;problem_10_500_2_4_5.txt;1289;1493;0;1387;1501;0;1387;1501;0;1387;1501;0;1387;1501;0;1387;1501;19
